CODEX,SELE,CODASS,NF
243050,11.73,240011,6.2
243050,11.73,240012,7.2
243050,11.73,240013,6.0
243050,11.73,240014,3.6
243050,11.73,240015,8.3
243050,11.73,240021,8.0
243050,11.73,240022,7.1
243050,11.73,240023,7.7
243050,11.73,240024,7.6
243050,11.73,240025,8.0
243050,11.73,240031,5.8
243050,11.73,240032,7.2
243050,11.73,240033,5.0
243050,11.73,240041,6.8
243050,11.73,240042,7.1
243050,11.73,240043,6.5
243050,11.73,240044,8.2
243050,11.73,240051,5.1
243050,11.73,240052,6.5
243050,11.73,240053,5.2
243050,11.73,240054,5.0
243050,11.73,240055,6.1
243050,11.73,240061,5.0
243050,11.73,240062,7.0
243050,11.73,240063,6.2
243050,11.73,240064,9.0
243050,11.73,240071,5.8
243050,11.73,240072,6.4
243050,11.73,240073,6.6
243050,11.73,240131,6.6
243050,11.73,240132,7.0
243050,11.73,240133,5.0
243050,11.73,240141,6.3
243050,11.73,240151,5.0
243050,11.73,240161,8.5
243050,11.73,240162,5.5
243050,11.73,240171,7.4
243050,11.73,240172,5.0
243050,11.73,240180,9.0
243050,11.73,240407,7.7
243124,11.29,240011,5.6
243124,11.29,240012,7.0
243124,11.29,240013,5.3
243124,11.29,240014,5.7
243124,11.29,240015,7.9
243124,11.29,240021,6.0
243124,11.29,240022,9.7
243124,11.29,240023,7.3
243124,11.29,240024,6.6
243124,11.29,240025,9.4
243124,11.29,240031,5.9
243124,11.29,240032,6.3
243124,11.29,240033,5.6
243124,11.29,240041,7.8
243124,11.29,240042,6.5
243124,11.29,240043,7.5
243124,11.29,240044,9.0
243124,11.29,240051,5.2
243124,11.29,240052,5.9
243124,11.29,240053,6.8
243124,11.29,240054,7.7
243124,11.29,240055,7.0
243124,11.29,240061,6.1
243124,11.29,240062,9.0
243124,11.29,240063,6.9
243124,11.29,240064,8.4
243124,11.29,240071,8.0
243124,11.29,240072,8.0
243124,11.29,240073,7.5
243124,11.29,240131,5.5
243124,11.29,240132,9.0
243124,11.29,240133,7.0
243124,11.29,240141,6.2
243124,11.29,240151,6.4
243124,11.29,240161,7.5
243124,11.29,240162,7.7
243124,11.29,240171,7.3
243124,11.29,240172,5.1
243124,11.29,240180,9.5
243124,11.29,240405,9.0
243136,10.05,240011,5.0
243136,10.05,240012,6.2
243136,10.05,240013,5.2
243136,10.05,240014,5.8
243136,10.05,240015,5.5
243136,10.05,240021,6.3
243136,10.05,240022,5.0
243136,10.05,240023,2.8
243136,10.05,240024,5.0
243136,10.05,240025,7.3
243136,10.05,240031,4.0
243136,10.05,240032,6.5
243136,10.05,240033,3.7
243136,10.05,240041,5.0
243136,10.05,240042,4.5
243136,10.05,240043,6.4
243136,10.05,240044,9.5
243136,10.05,240051,7.1
243136,10.05,240052,5.0
243136,10.05,240053,5.4
243136,10.05,240054,5.0
243136,10.05,240055,5.5
243136,10.05,240061,5.5
243136,10.05,240062,5.1
243136,10.05,240063,5.8
243136,10.05,240064,9.0
243136,10.05,240071,5.5
243136,10.05,240072,6.0
243136,10.05,240073,5.8
243136,10.05,240131,6.2
243136,10.05,240132,3.5
243136,10.05,240133,6.7
243136,10.05,240141,5.7
243136,10.05,240151,3.8
243136,10.05,240161,6.0
243136,10.05,240162,7.2
243136,10.05,240171,7.6
243136,10.05,240172,7.0
243136,10.05,240180,10.0
243136,10.05,240402,7.6
243136,10.05,240617,7.5
243136,10.05,240621,9.0
243136,10.05,240649,6.6
243136,10.05,240650,8.0
243182,12.67,240011,6.1
243182,12.67,240012,7.8
243182,12.67,240013,7.3
243182,12.67,240014,7.3
243182,12.67,240015,7.5
243182,12.67,240021,6.9
243182,12.67,240022,8.0
243182,12.67,240023,8.2
243182,12.67,240024,6.6
243182,12.67,240025,7.6
243182,12.67,240031,8.0
243182,12.67,240032,6.7
243182,12.67,240033,6.6
243182,12.67,240041,7.3
243182,12.67,240042,7.6
243182,12.67,240043,7.8
243182,12.67,240044,8.0
243182,12.67,240051,6.8
243182,12.67,240052,7.0
243182,12.67,240053,7.9
243182,12.67,240054,7.4
243182,12.67,240055,7.4
243182,12.67,240061,5.8
243182,12.67,240062,6.0
243182,12.67,240063,6.6
243182,12.67,240064,8.0
243182,12.67,240131,6.4
243182,12.67,240132,5.0
243182,12.67,240133,6.5
243182,12.67,240141,6.9
243182,12.67,240151,5.9
243182,12.67,240161,9.2
243182,12.67,240162,6.7
243182,12.67,240180,9.0
243182,12.67,240402,9.0
243182,12.67,240634,9.0
243205,12.66,240011,7.1
243205,12.66,240012,7.7
243205,12.66,240013,6.5
243205,12.66,240014,6.5
243205,12.66,240015,7.6
243205,12.66,240021,7.4
243205,12.66,240022,7.7
243205,12.66,240023,7.2
243205,12.66,240024,6.9
243205,12.66,240025,7.6
243205,12.66,240031,6.2
243205,12.66,240032,7.7
243205,12.66,240033,6.6
243205,12.66,240041,8.1
243205,12.66,240042,7.4
243205,12.66,240043,7.9
243205,12.66,240044,8.0
243205,12.66,240051,5.7
243205,12.66,240052,5.6
243205,12.66,240053,5.6
243205,12.66,240054,6.2
243205,12.66,240055,7.4
243205,12.66,240061,5.0
243205,12.66,240062,6.8
243205,12.66,240063,6.9
243205,12.66,240064,9.0
243205,12.66,240071,8.2
243205,12.66,240072,7.3
243205,12.66,240073,7.8
243205,12.66,240131,7.3
243205,12.66,240132,7.0
243205,12.66,240133,6.2
243205,12.66,240141,6.8
243205,12.66,240151,6.6
243205,12.66,240161,5.6
243205,12.66,240162,5.3
243205,12.66,240171,7.4
243205,12.66,240172,6.0
243205,12.66,240180,10.0
243205,12.66,240403,8.5
243205,12.66,240609,5.0
243205,12.66,240620,10.0
243205,12.66,240629,9.8
243205,12.66,240632,8.7
243241,10.75,240011,6.9
243241,10.75,240012,6.5
243241,10.75,240013,5.6
243241,10.75,240014,5.1
243241,10.75,240015,6.5
243241,10.75,240021,7.1
243241,10.75,240022,7.0
243241,10.75,240023,6.1
243241,10.75,240024,5.3
243241,10.75,240025,6.7
243241,10.75,240031,5.0
243241,10.75,240032,5.9
243241,10.75,240033,5.3
243241,10.75,240041,6.1
243241,10.75,240042,5.5
243241,10.75,240043,5.0
243241,10.75,240044,8.7
243241,10.75,240051,4.2
